Name,Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Jayson Tatum,52,52,2018-01-31,19-334,BOS,,NYK,W (+30),1,30:53,.500,.500,0.0,8.8,5.0,5.3,0.0,0.0,0.0,23.1,97,83,8.9
Jayson Tatum,53,53,2018-02-02,19-336,BOS,,ATL,W (+9),1,31:34,.637,.579,0.0,15.6,7.8,16.1,6.1,0.0,0.0,29.6,134,101,23.8
Jayson Tatum,54,54,2018-02-04,19-338,BOS,,POR,W (+1),1,36:22,.571,.536,0.0,5.1,2.7,24.4,0.0,0.0,16.8,22.8,103,111,9.9
Jayson Tatum,55,55,2018-02-06,19-340,BOS,@,TOR,L (-20),1,20:49,.222,.222,0.0,6.8,3.0,0.0,0.0,0.0,10.0,21.2,42,120,-2.2
Jayson Tatum,56,56,2018-02-08,19-342,BOS,@,WAS,W (+6),1,36:29,.455,.333,0.0,6.1,3.5,5.0,3.2,0.0,19.9,21.7,79,100,4.6
Jayson Tatum,57,57,2018-02-09,19-343,BOS,,IND,L (-6),1,35:38,.609,.545,0.0,10.4,4.4,5.2,0.0,8.6,14.0,17.9,108,108,11.3
Jayson Tatum,58,58,2018-02-11,19-345,BOS,,CLE,L (-22),1,27:26,.409,.409,3.6,5.0,4.2,6.0,1.8,0.0,15.4,20.2,77,125,2.4
Jayson Tatum,59,59,2018-02-14,19-348,BOS,,LAC,L (-10),1,31:33,.372,.346,0.0,14.5,6.8,8.5,0.0,0.0,0.0,17.9,88,133,4.3
Jayson Tatum,60,60,2018-02-23,19-357,BOS,@,DET,W (+12),1,20:44,.794,.778,0.0,5.3,2.7,0.0,0.0,4.5,9.6,23.3,129,112,10.3
Jayson Tatum,61,61,2018-02-24,19-358,BOS,@,NYK,W (+9),1,26:01,.491,.333,3.9,15.7,9.8,20.2,7.2,2.7,15.2,20.9,105,97,12.9
Jayson Tatum,62,62,2018-02-26,19-360,BOS,,MEM,W (+11),1,26:17,.313,.313,0.0,13.7,6.5,5.2,0.0,3.3,0.0,13.8,72,105,1.7
Jayson Tatum,63,63,2018-02-28,19-362,BOS,,CHO,W (+28),1,20:45,.583,.583,0.0,13.3,8.7,0.0,0.0,3.6,14.3,15.6,93,108,4.2
Jayson Tatum,64,64,2018-03-03,20-000,BOS,@,HOU,L (-3),1,27:41,.761,.714,0.0,18.3,8.9,14.0,0.0,0.0,0.0,12.1,167,130,11.6
Jayson Tatum,65,65,2018-03-05,20-002,BOS,@,CHI,W (+16),1,19:50,.543,.500,0.0,25.2,13.6,16.7,0.0,5.0,0.0,29.1,124,93,10.4
Jayson Tatum,66,66,2018-03-08,20-005,BOS,@,MIN,W (+8),1,22:11,.615,.563,5.0,17.3,11.6,0.0,0.0,0.0,9.3,21.2,115,114,7.3
Jayson Tatum,67,67,2018-03-11,20-008,BOS,,IND,L (-2),1,34:26,.654,.545,0.0,18.3,8.6,15.5,1.5,4.7,12.1,21.7,122,103,15.7
Jayson Tatum,68,68,2018-03-14,20-011,BOS,,WAS,L (-1),1,46:29,.391,.391,0.0,13.3,6.5,20.4,0.0,0.0,7.6,26.0,85,116,8.6
